stimulus_combo,SPI,accuracy
"('False', 'face')",xcorr_max_sig-True,66.5
"('face', 'object')",xcorr_max_sig-True,68.75
"('False', 'face')",xcorr_mean_sig-True,65.99999999999999
"('False', 'letter')",mi_kraskov_NN-4,65.99999999999999
"('face', 'letter')",mi_kraskov_NN-4,70.25
"('False', 'letter')",mi_kraskov_NN-4_DCE,65.75
"('face', 'letter')",mi_kraskov_NN-4_DCE,67.5
"('False', 'face')",sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,69.25000000000001
"('face', 'letter')",xcorr_mean_sig-True,65.75
"('face', 'letter')",pec,66.75
"('face', 'letter')",pec_orth_abs,67.0
"('False', 'object')",wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,65.5
"('letter', 'object')",wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,69.0
"('face', 'letter')",dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,68.0
"('face', 'object')",dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,66.5
"('face', 'letter')",pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,68.0
"('face', 'object')",pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,66.5
"('face', 'letter')",sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,67.0
"('False', 'face')",pdist_chebyshev,67.75
"('face', 'letter')",pdist_chebyshev,67.75
"('face', 'object')",pdist_chebyshev,65.5
"('face', 'object')",pec,70.0
"('face', 'letter')",pec_log,65.25000000000001
"('face', 'object')",pec_log,68.0
"('face', 'object')",pec_orth_abs,67.5
